Row,amygdala,angular gyrus,caudate,cerebellar cortex,cingulate gyrus frontal part,cingulate gyrus parietal part,cingulate gyrus retrosplenial part,claustrum,cuneus,dentate nucleus,epithalamus,fastigial nucleus,frontal operculum,frontal pole,fusiform gyrus,globus pallidus,gyrus rectus,hippocampus,inferior frontal gyrus,inferior temporal gyrus,insula,interposed nucleus,lingual gyrus,medial frontal gyrus,middle temporal gyrus,myelencephalon,nucleus accumbens,occipital pole,occipito-temporal gyrus,orbital gyrus,paracentral lobule,parahippocampal gyrus,parolfactory gyri,planum polare,planum temporale,pontine tegmentum,postcentral gyrus,precentral gyrus,precuneus,putamen,red nucleus,subcallosal cingulate gyrus,substantia nigra,subthalamic nucleus,superior frontal gyrus,superior parietal lobule,superior temporal gyrus,supramarginal gyrus,temporal pole,thalamus,transverse gyri
amygdala,0.010713557001465734,0.0,0.0004425786267051352,4.829922652238669e-05,0.0,0.0,0.0,0.0,0.0,0.0003528800631635599,0.010901825415052996,0.0,0.0,0.008232553875815788,0.09588677872744353,1.9713970009137423e-06,0.02977203750779934,0.005334600284472587,0.0871268761538833,0.0371115485422012,0.0,0.00011729812155436767,0.0,0.023658735407965824,0.0019280262668936402,0.014839690924378196,0.0013888491871437317,0.0,0.0,0.018674058091155427,0.0,0.011229077317204678,0.0,0.03997894548003024,0.0,0.010219722052736841,0.0,0.0,0.0,1.0842683505025584e-05,9.856985004568712e-07,0.0,6.899889503198099e-05,1.1828382005482456e-05,0.02275583558154733,0.0,0.03612585004174433,0.0,0.04383302661681661,0.030138717349969295,0.0
angular gyrus,0.0,0.051921229255524455,0.0,0.0,0.0,0.0,0.0,0.0,0.031633525401575366,0.0,0.0,0.0,0.0002502299172185361,0.004965944370101454,0.07845686575552185,0.0,0.001693663663109703,4.1329477042003566e-05,0.038683686431638296,0.052964464112988455,2.1122390311075076e-06,0.0,8.800995962947948e-06,0.07072240968734779,0.027606260056898087,0.0,0.0,0.11641887051819842,0.0,0.09745223136227167,0.011195782168449936,0.0006817603512737999,0.0,0.00765186752205776,0.00040970396406715285,0.0,0.03165690084685295,0.00429805438846526,0.013820450388504124,6.843654460788324e-05,0.0,0.0,0.0,0.0,0.0019181242641487276,0.020719656735810575,0.0139437347399531,0.03602613769066654,0.0161579949162631,0.0019512160089694118,0.001715842172936332
caudate,0.0,0.0,0.01999350771850691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045887853485182474,0.0,0.0,0.024233035515499046,0.278967557287586,8.242818126042036e-05,0.050693331475158525,0.0,0.042485354126762645,0.081032850604445,0.0,0.0,0.0,0.03918737710128129,0.002151630463416334,0.0,0.002688688304205877,0.0,0.0,0.04713192417966964,0.0008319297881850674,0.010758152317081668,0.00047587403614263304,0.07653839028809074,0.0,0.0,0.009751168865601276,0.0006679232007287671,0.06374417691637024,0.0005319591904023005,0.0,0.0002991208227182265,0.0,0.0,0.13530883375170594,0.08191236779624433,0.0713377668931034,0.0,0.10693144524644327,0.07483289173355813,0.0
cerebellar cortex,0.0,0.0,0.0,0.39445652628219396,0.0,0.0,0.0,0.0,0.0,0.006953703562851492,5.665376794079061e-05,1.2878541617405999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001907825973684945,0.0,0.0,0.0,0.01679751727711003,0.0,0.0,1.9760881518450948e-05,0.0,0.0010190884503259734,0.0,0.0,0.0,0.0,0.004730678236874484,0.00018496657708301918,0.0013313930845480688,0.0013314226224875583,0.0,0.000827416760978846,0.0,3.8103941941407657e-06,7.697587030954135e-05,0.00017663687814699054,0.0016571670191773595,0.0,0.0,0.0,0.0009118066541002426,0.0
cingulate gyrus frontal part,0.0,0.0,0.0196931054184355,0.0,0.0,0.0,0.03657716797489378,0.0,0.05475570131152863,0.0,0.0,0.0,0.0,6.0527857946619935e-05,0.0,0.0,0.4464067086876735,0.0023571473770803014,0.0,0.0,0.0,0.0,0.0,0.00020909623654286885,0.0,0.0,0.006235057185069428,0.0,0.0,0.1050236287918181,0.0,0.03105285457631875,0.0,0.0,0.0,0.0,0.0,0.0,0.25562037844584634,0.0,0.0,0.06736819371115556,0.0,0.0,0.0015258064190710441,0.22042136560018416,0.0,0.0,0.0,0.0,0.0
cingulate gyrus parietal part,0.0,0.0,0.007267887714423588,0.0,0.00010142954181509701,0.002263415593716286,0.003230684587934802,0.0,0.05102520677795229,0.0,0.0,0.0,0.0,0.003570319871891415,0.0,0.0,0.337882704418947,0.0010533304236373863,0.002174280541818171,0.0,0.0,0.0,0.0,0.01234489732564108,0.0,0.0,0.002076539346978168,0.0,0.0,0.0751230217397318,0.0,0.013876483407049046,0.0,0.0,0.0,0.0,0.0,1.1679765421132385e-05,0.4085468220280376,0.0,0.0,0.04601397268779065,0.0,0.0,0.04844397861988203,0.32572652751353165,0.0,0.0,0.0,0.0,0.0
cingulate gyrus retrosplenial part,0.0,2.2010059917986114e-07,0.003115303880791755,0.0,7.945631630392987e-05,0.0,0.002860207286342296,0.0,0.0028331349126431726,0.0,0.0,0.0,0.0,0.0038693685335819588,3.081408388518056e-06,0.0,0.3541544098145498,0.02420292218761507,0.005248738988642148,0.0,0.0,0.0,0.0008381430816769113,0.011684480508661289,0.0,0.00010168647682109585,0.0008900868230833585,0.002230059270890353,0.0,0.07145565952374192,2.487136770732431e-05,0.3188471922977116,0.0,0.0,0.0,6.338897256380001e-05,8.583923368014584e-06,5.612565279086459e-05,0.006120337361394399,0.0,0.0,0.037692227609551224,0.0,0.0,0.03927585142065032,0.0044015717823988635,0.0,0.0,0.0,0.0,0.0
claustrum,0.00020417615135290832,0.0020106794783855335,6.216407028709954e-06,0.0,0.0,0.0,1.351392832328251e-06,1.9305611890403587e-07,0.01705287865013617,0.0,0.0,0.0,4.440290734792825e-06,0.00018378942519664215,0.012792786496728374,3.243342797587802e-05,0.0008758570002438299,0.00010058223794900269,0.30359846952831177,0.0054034477120050595,0.0002779621999980308,0.0,0.03911077579408326,0.002088905817765449,0.0020543487724816265,5.629516427241686e-05,1.4363375246460267e-05,0.07214657747216566,0.014294261155892623,0.13132144403660267,7.258910070791749e-05,0.0011532400318851486,0.0,0.007566255412086973,0.00018460026089603908,2.3398401611169144e-05,0.001327376651136589,0.0005905972789512265,0.024336461292923856,0.0001480740431993955,0.0,0.0,0.0,0.0,0.004061398795831764,0.024397737305063998,0.01907344260180959,0.0003859964041367293,0.006410312594537168,0.0016187755570103407,0.0081530301798839
cuneus,0.0,0.0012503856820468345,0.0024830376428844445,0.0,1.541144819373077e-05,0.0,6.428473938343863e-05,0.0,0.11350705765158875,0.0,0.0,0.0,0.0,0.0005918101664256956,0.009472076619809179,0.0,0.09019265049147214,0.002083765021016043,0.04254193048655736,0.005935360375076648,1.5833679651093258e-06,0.0,0.00023935245739235974,0.004052313633104297,0.0023380539162126007,0.0,0.0007089266169116155,0.07415049405830615,0.0,0.10664574369051616,0.0,0.02442007301015245,0.0,0.002992934906581818,0.0003071206062990389,0.0,4.512598700561579e-05,0.00021185463373162778,0.10037180646556697,5.130112206954215e-05,0.0,0.011955114262693623,0.0,0.0,0.006350308339799632,0.06273799999725549,0.006693107504245802,0.0003250654432369446,0.0028718072572509546,0.0017863557382363413,0.001568484306237298
dentate nucleus,0.0,1.856635912653171e-06,0.0,0.10700802310397729,0.0,0.0,0.0,0.0,0.0011731618173077224,0.2363908297503161,5.8484031248574886e-05,0.0,0.0,0.0,0.0,2.2047551462756404e-06,0.0,2.181547197367476e-05,0.0,0.0,0.0,0.07652728320671656,0.0,0.0,0.0,0.025024783188440307,0.0,0.0011605134851527727,0.0,0.00022291234926292134,0.002536744855406936,9.283179563265855e-07,0.0,0.0,0.0,0.006832652238052751,0.00128560432976778,0.004156427609707746,0.020920573463775932,1.856635912653171e-06,0.013188149046553637,0.0,0.00014493364093148817,0.0013389826122565587,0.004398486516819903,0.034261778933378916,0.0,0.0,0.0,0.01518182789750952,0.0
epithalamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012473774671374433,0.0,0.025777729616485612,0.0,0.0,0.010440766125755153,0.030194120108242503,3.612096912560164e-06,0.03268917605059344,0.00014628992495868665,0.03595631770800411,0.00903475740254111,0.0,0.0,0.0,0.03021338462510949,0.00022876613779547705,0.0,0.0,0.011647206494550248,0.0,0.06897810768262913,0.0,0.002459536989377425,0.0,0.009336367494739884,0.0,0.0,0.0,0.0,0.0017199601465307313,0.0,0.00010595484276843148,0.00019866533019080902,0.00011679113350611197,0.00010836290737680492,0.05698323686024496,0.0014701234434119866,0.00887793219492079,0.0,0.012332300875632493,0.25814693408224143,0.0
fastigial nucleus,0.0,0.0,0.0,0.06180217665552673,0.0,0.0,0.0,0.0,0.0,0.30101878568108725,9.668329697031823e-05,0.0001997733184386696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09636179588641693,0.0,0.0,0.0,0.02112413552901489,0.0,0.0,0.0,0.0006290238598068897,0.0018066963084453441,0.0,0.0,0.0,0.0,0.005575597601788292,0.0015376138795279526,0.003254616045000833,0.003708911054861364,0.0,0.054547434805753935,0.0,0.0002504446849231135,0.005650148577765405,0.0002679175699177493,0.004221449014704015,0.0,0.0,0.0,0.05178788383560112,0.0
frontal operculum,0.0,0.00160447970552972,0.0,0.0,0.0,0.0,0.0,0.0,1.0057662613899498e-05,0.0,0.0,0.0,0.0430650466898735,0.06726677763621083,0.11611113807594316,0.0,0.0,0.0,0.04928723661707919,0.23224832436798185,0.0001561197854056422,0.0,0.0,0.15158801734596478,0.18866536455721508,0.0,0.0,0.0,0.0,0.0034885398302368256,0.00044378023690767784,0.0,0.0,0.003548038250081973,0.001919657469913604,0.0,0.005665571756365667,0.176985875594963,0.00042061371066217897,2.0906377343498956e-05,0.0,0.0,0.0,0.0,0.06939657245028788,0.0004466619267577277,0.0077548534013743625,0.01576764629618946,0.005676589982262916,0.0,0.00019578539863574022
