Name,structure_abbreviation,top_level_structure_name,original_structure_abbreviation,Brain Map ID-1,DRD4,KCNQ1OT1,CACNA1H,HCN4,CHRNA5,KCNH6,CHRM2,SCN1A,KCNA6,HCN2,KCNH8,CHRM4,ADRB2,CHRFAM7A,CHRM1,CHRNA7,CHRNA9,SCN9A,CACNA1I,HTR2C,ENTHD1,DRD5,HTR1B,HTR3C,KCNQ1DN,HCN3,CHRNB2,ADRB3,KCNQ1,CHRM5,CHRNA1,HTR7,KCNA5,CHRNB1,ADRA2B,DRD2,DRD3,HTR1D,HTR1E,KCNH4,ADRB1,DRD1,ADRA2C,HTR4,HTR3A,CACNA1E,CACNA1S,ADRA2A,KCNH5,ADRA1D,KCNA4,KCNQ3,CACNA1C,KCNQ4,HTR1A,ADRA1B,KCNB2,CHRM3,HTR2A,HTR1F,HTR3B,KCNB1,KCNH3,CACNA1F,KCNQ5,HCN1,SCN8A,CACNA1D,KCNH1,SCN2A,KCNQ2,KCNA1,CACNA1B,KCNH2,KCNAB3,KCND3,CACNA1A,CHRNE,CHRNA10,CHRNB3,CHRNB4,CHRNG,KCNA2,KCNA10,KCNA3,KCNC3,KCNC4,CACNA1G,KCNH7,HTR5A,HTR6,SCN3A,SCN5A,ADRA1A,HTR2B,HTR3D,HTR3E,KCNA7,CHRND,KCND1,CHRNA6,CHRNA2,CHRNA3,CHRNA4,KCND2
amygdala,amg,amygdala,ATZ,"96,100,103,104",0.030965973890200987,-0.21218588105805267,-0.027616486886548452,-0.28853715950682957,-0.4792947477948552,-0.35554795222069446,-0.30607048049687724,-0.2788119354668917,-0.263193987364298,-0.18534237690021602,-0.107644370937474,-0.05550427643947182,0.06911500410477295,0.1735954960944564,0.25038713343071695,-0.006365394606160436,0.2558356804660736,0.2899680644442598,0.6754913053773198,0.6452213766551314,0.23575050480772017,-0.08443502998969774,0.22137942006450315,0.17012778336214407,0.010040349170502475,0.4169611316112708,0.38608421345785787,0.3184948658828521,0.0626220151910919,-0.018772469859184862,0.16256138136301682,0.3630309440848248,0.38053901373370075,0.2898568672694291,0.41789402667975367,0.3316405533892724,0.3539703834804303,0.5515645664360496,0.3239280923537218,0.2291897296941164,0.19814586505067988,0.36310536405120275,0.43491038691685796,0.46245046556510894,0.8551982295781663,0.6372892873324827,0.042523891385774004,-0.12791492837566595,-0.20668055141289554,0.1655048108387063,0.24414593574549986,0.4566353288787863,0.35172340693434434,0.01852169622545429,0.18540632345313263,0.12225315815879458,0.19709595273898647,0.050451049742908614,0.030541635460288034,-0.050988239599085584,-0.2628787410603695,-0.00435007279341681,0.17479143867437075,0.3906019816920523,0.2741625235539915,0.2587685386666079,0.299062125584735,0.48854422874920445,0.10934108951534113,0.1504235907171316,0.17840996549366764,-0.18765912682159525,-0.16541490428001115,-0.6322187745447531,-0.39819997252117434,-0.1632721166158421,-0.11648424991494583,-0.2193646672550874,0.02875859875693941,-0.22104529117927552,-0.13081875417953187,-0.04192965958615188,-0.3750709454880417,-0.5015130413161197,-0.42005280784884813,-0.3199499838040788,-0.1338127154709024,-0.44374384551300433,-0.16658891074619783,-0.4468859955282826,-0.2002555241442245,0.45512009497189276,0.8695433804974559,0.6219535134761629,0.13772976346524,0.1229290769365315,0.2458338690388063,0.12304957981926863,0.11748313915464756,0.2889999613671127,-0.34642752505272284,-0.17840322668537312,-0.1593892262703897,-0.18640699221586274,-0.25170036579085037
angular gyrus,AnG,parietal lobe,AnG,33,-0.13336944444444443,-0.5286458333333334,-0.09110416666666665,-0.4061916666666667,-0.1819805555555556,-0.10287916666666667,-0.14723181818181816,0.678286111111111,0.34441666666666676,0.3424958333333333,0.19040277777777778,0.1419388888888889,-0.0586277777777778,-0.06312916666666668,-0.11155555555555556,0.10486041666666669,0.027352777777777778,-0.05956041666666667,-0.08159444444444447,-0.4153091085271318,-0.06697083333333334,-0.04906666666666667,-0.0423277777777778,-0.10706666666666668,-0.4267708333333333,-0.5910833333333333,-0.493875,-0.18454583333333333,-0.30554166666666666,-0.23640416666666667,-0.34079166666666666,-0.40029305555555555,0.07845833333333331,-0.04547083333333334,-0.13773888888888888,-0.2767566666666667,-0.1983607142857143,-0.23542628205128205,0.25669166666666665,0.38005000000000005,0.40980833333333333,0.5632966666666667,0.2778416666666667,0.26514901960784315,-0.14597833333333332,0.22199722222222226,0.35442222222222225,0.2724611111111111,0.45788888888888885,0.2527444444444445,0.2504722222222222,0.4757722222222222,0.2997583333333334,0.1807729166666667,0.06235555555555556,0.34454999999999997,0.9117027777777778,0.8767011904761906,1.151772,1.2397021505376344,1.160503125,1.0494444444444444,0.5430361111111112,0.4428541666666666,0.779461111111111,0.6291833333333333,0.4834083333333334,0.6080270833333333,0.8877208333333333,0.46194791666666674,0.18620694444444444,0.259425,0.10040833333333336,0.30744166666666667,0.4016916666666666,0.2237916666666667,-0.23522500000000002,0.3175291666666667,0.06853333333333332,-0.14783055555555555,0.05545833333333333,0.049502777777777764,0.4310791666666667,0.5537291666666667,0.5525027777777778,0.5576708333333333,0.3731222222222222,0.20455,0.6008208333333332,0.6747618055555556,0.25900833333333334,0.044780555555555566,0.04380555555555557,-0.24707777777777776,0.0933810606060606,0.02017499999999998,0.16135,0.09492222222222223,-0.16271944444444444,-0.04553055555555557,-0.28147916666666667,-0.3401416666666666,-0.6902333333333335,-0.5984083333333333,-0.5538277777777777
basal part of pons,bpons,basal part of pons,Pn,167,-0.10445484848484848,0.5648236363636364,0.11696507575757574,0.5530371717171717,0.4536123905723906,0.5613013762626263,1.1189428099173555,1.0100410774410775,0.6737916666666668,0.4905654671717172,0.08972885521885521,0.2927421717171717,0.19163361952861957,0.3967666161616162,0.08905553872053872,-0.14671166666666668,0.26310562289562284,0.0375451515151515,0.2581311111111111,-0.23426186046511624,0.6190756565656564,0.6986557744107745,0.06158567340067342,0.32582429292929294,0.4570888636363637,0.9745695707070707,0.8614861363636362,0.47576762626262625,0.6914080976430976,0.521381856060606,0.3256179040404041,0.42243402356902354,0.29773310606060605,-0.008680479797979803,-0.048501784511784496,0.20712762626262624,-0.030218506493506506,-0.024463352758352725,0.14559436868686867,0.18671436026936028,-0.1432604797979798,-0.40332361868686867,-0.23332376262626264,-0.3595923767082591,-0.3507570707070707,0.18843265993265992,0.22107702020202016,-0.16923858585858584,0.45805240740740744,0.46081257575757584,0.5502628451178452,0.1554039393939394,0.044982895622895626,0.29368143939393937,-0.19800225589225587,-0.15959888888888893,-0.4038514478114477,0.26551887445887445,-0.6919346888888889,-0.17949274682306945,-0.45873756944444444,-0.8306170875420875,-0.41622047138047136,-0.26145540404040407,0.3872834343434343,0.12817407407407408,0.14332542087542088,-0.39977570707070703,-0.9923393181818181,-0.200382702020202,0.15240039562289562,0.39896136363636364,-0.03190287878787879,-0.0356260606060606,-0.27723222222222227,-0.6190537373737374,-0.002932912457912463,-0.09178941919191917,-0.24193883838383842,0.2636293602693603,-0.10245865319865317,0.28231131313131325,0.3688730050505051,0.5831802020202019,-0.27907572390572394,-0.15483464646464642,0.6377081818181818,-0.6074587752525252,-0.4754355808080808,0.03195763047138047,0.12792217171717168,-0.4518968686868687,-0.447066228956229,-0.3333970370370371,0.0071869237832874145,0.12991045454545455,-0.05771547138047136,0.19549405723905722,0.033730723905723896,0.40732781144781155,0.2673795202020202,-0.1140071212121212,-0.400791127946128,0.2893493686868687,0.804058063973064
caudate,Cd,striatum,BCd,84,0.0762921013197647,-0.45439019211725096,-0.14350582783955332,-0.16321536333514888,-0.4449367189518905,-0.44083440691343867,-0.3455950574526567,-0.08658340749543363,-0.32953315261233557,0.07877617758172292,-0.24842386553442924,0.17897517642578917,0.033696098190117804,0.03147449929971987,-0.09921234745918575,-0.43457800443451794,-0.4492546533574147,-0.1526070419531449,0.5899304637803495,0.723398304328818,0.4511011067432025,-0.2744166393628158,-0.07067620087821884,-0.05337569572161075,0.12262307107607355,0.14994151025898578,0.0400256431023588,0.006675174215309013,0.13579012487542713,-0.18997666461534107,-0.06520229292811397,0.19683191126562857,0.7367238189434022,0.13505980350894561,0.4859985754172601,1.3134611288680456,1.170591397745967,0.9455260452410698,0.7325275497859075,0.72523085398413,0.7377768445425308,1.3513005125761586,1.1875145740493167,1.321483311971253,1.0269225641805544,0.569705809974944,0.025705574186464717,-0.23685345437333183,-0.24013248999094586,-0.10342347860412404,0.5667131385713656,0.47955201262940644,-0.016141081960281342,0.09296413143161304,-0.28389221746723375,-0.43925568800163173,0.11363344699720518,0.0499515492476452,-0.3699215155433891,-0.37420659234471465,-0.3802271833575602,-0.08942500163870262,0.07894919768019441,0.22628068921002745,0.27561240662538855,-0.3716536782625509,-0.0032519029895908733,0.021773165301474117,0.09605783832725008,-0.07526454125758048,0.006715821880098872,0.3810982562907318,0.1351264011811234,0.10885260346226032,-0.6108167562412171,-0.22856449816402435,-0.17739618685689762,-0.04908084832923068,0.1250432361370474,-0.3303085912501926,-0.32627661760383164,-0.05405935054717734,-0.23399057855044378,-0.054942111609795424,-0.22090757686969292,-0.41398396869016973,-0.9075430363587638,-0.3743569308838856,-0.7926037312757596,-0.670582774654615,-0.3468255052450273,-0.19149839977741942,-0.15126925568712332,-0.42363843466567336,-0.1300242594457434,-0.12730399672731044,-0.12736109867347614,-0.021701305110708682,-0.05494075258891432,-0.462447640535451,-0.4479354041759802,-0.154450265245829,-0.031573069258567635,0.009512726895472013,0.018767905207537575
cerebellar cortex,cb-ctx,cerebellar cortex,Cb-Crus I,223,-0.02557644401032405,0.18332242853524863,-0.07536476343863077,-0.06793077856504015,-0.03149298825899335,-0.6671185094744899,-0.8619357685364972,-1.0465583793583648,-0.4664726771544504,-0.5375689295462361,-0.6398896748926602,-0.9029971340045703,-0.8134647104874381,-0.6292708875499579,-0.32211365619693844,-0.37042015986449256,-0.6136224147528826,-0.32972556944193654,-0.7808158416123256,-1.1110943087412126,-1.0236063555113613,-0.786142307848265,-0.6772194358870273,-0.255122308283569,-0.4555310136592192,-0.8601054540000341,-0.9531509604685297,-0.7048418253914671,-0.8889543621248512,-0.7732124234684241,-0.5679736781499058,-0.8697158531301601,-1.5434194866949509,-0.5419664393412735,-0.3211277791426052,-0.7414355696372962,-0.38609318078244137,-0.5006066097216112,-0.5457471812203027,-0.950557211293338,-0.7957566389308391,-0.6819916015753721,-0.3990724026950119,-0.8985994533855316,-0.6708495639715039,-0.6741309824343089,-0.2125787383699103,-0.4762542701717175,-1.103592385279363,-0.9243540344123797,-0.968478246439651,-0.9996794915474131,-0.5933196154898333,-0.40917608717366594,-0.7216058619943941,-0.4222218423485262,-1.325743482924916,-1.3464199052842134,-1.3773504593203336,-0.7865706469771983,-0.39108137375949376,-0.3443713282579814,-0.05975784586797429,-0.3436269285942133,-0.6068433808746856,-0.12271190189298536,-0.16526121885186862,-0.04956933043150042,0.5926863281354221,0.37807495410685427,0.03298795470195837,-0.004618933310450734,0.36060316127992975,0.6568352290878593,0.8843138788058308,1.3058542331600078,1.0287809056588844,0.751451540888826,0.5959323845926232,0.7610105614674857,0.6878267309100805,0.355774461558768,0.2681381908892506,0.4316228644514955,0.24214182779948976,0.3300609373697245,0.060450107443858224,0.4503446275586411,0.323979492041234,0.6438706087749257,0.3230203389488606,0.19014410699408807,-0.36037198576736695,-0.10230423347885709,-0.09837198843833424,0.12754863801506705,0.10333994692595512,-0.004448244130579844,0.18933681935826813,0.5967586528836477,0.8898369759077046,0.4161504776350907,0.6376371109753317,0.20521913153595472,0.6089868247063301
cingulate gyrus frontal part,CgGf,cingulate gyrus,CgGf,59,0.09760277777777777,-0.18069097222222222,-0.10523888888888888,-0.23977534722222224,-0.21078935185185188,-0.3501690972222222,-0.28280896464646466,-0.12151481481481487,0.08688657407407403,0.010372916666666657,0.16946805555555555,0.12098518518518515,0.25960092592592593,0.06473749999999996,-0.14179675925925928,0.07129652777777774,-0.03495046296296297,-0.1369368055555556,-0.0943740740740741,-0.40056676356589155,-0.1289576388888889,0.10736203703703705,-0.005359259259259268,-0.1941023148148148,-0.13262708333333334,-0.28840069444444444,-0.3646770833333333,-0.05128125,0.02211527777777776,-0.35170555555555555,-0.3680576388888889,-0.15406319444444447,0.14505486111111113,0.08400902777777776,-0.25290277777777775,-0.38898472222222225,-0.2932494047619047,-0.34180395299145294,-0.13633750000000003,-0.035929629629629645,0.23096249999999996,0.4514006944444444,-0.011088194444444468,0.0826828431372549,0.30591833333333335,-0.003047685185185204,0.03735000000000005,-0.042342592592592564,0.21943842592592597,0.23365833333333333,-0.2521115740740741,0.2283828703703704,-0.07942546296296304,0.11089652777777777,0.29911574074074077,0.67478125,0.5328018518518518,0.5766123015873016,0.7373929444444444,0.660819847670251,0.5221340277777777,0.37146018518518514,0.2431009259259259,0.22279027777777774,0.3867023148148148,0.07617731481481486,-0.12134444444444438,0.039503472222222245,0.2676972222222222,-0.18585624999999997,0.031022916666666695,-0.09001898148148148,-0.06700416666666666,-0.0916076388888889,-0.19493101851851855,-0.2848407407407407,-0.4439652777777778,-0.11342083333333335,-0.08671041666666668,-0.15817175925925928,-0.040036111111111106,-0.15993472222222221,-0.12726597222222216,0.04527291666666663,-0.07407407407407407,-0.034778472222222225,-0.22237777777777779,-0.16626041666666666,0.3671246527777778,0.1363048611111111,-0.11684583333333327,-0.06113518518518524,-0.14129027777777778,0.06439583333333336,-0.0484861111111111,-0.03325333333333339,-0.15158379629629629,0.02554259259259256,-0.14955694444444445,-0.1774023148148148,-0.31191875,-0.22729583333333334,-0.6927856481481482,-0.5465156250000001,-0.7329949074074075
cingulate gyrus parietal part,CgGp,cingulate gyrus,CgGp,50,0.07653888888888888,-0.27879583333333335,0.08301666666666667,-0.09202083333333333,-0.1705888888888889,-0.11538333333333334,-0.09674886363636363,0.5517833333333333,0.4837916666666666,0.33924375,0.19025,0.17930833333333338,0.13324722222222224,-0.20376249999999999,0.05286111111111111,0.06670416666666663,-0.010230555555555557,-0.048174999999999996,0.08054444444444443,-0.502096511627907,-0.07234999999999998,0.15115555555555552,0.0696388888888889,-0.06033888888888889,0.1321041666666666,-0.24762083333333337,-0.15185833333333335,-0.28760416666666666,-0.21959722222222222,-0.2503208333333333,-0.19285833333333335,-0.22216388888888886,-0.014587500000000003,-0.18444166666666664,-0.2269555555555555,-0.296445,-0.20029166666666665,-0.2579916666666666,0.19754166666666664,0.4012277777777778,0.5654916666666666,0.5499175000000001,-0.0520875,0.2433254901960785,0.2151533333333333,0.34486666666666665,0.15658611111111112,0.10830833333333334,0.5472888888888889,0.41239722222222225,0.1825638888888889,0.3614333333333333,0.3033805555555556,0.3433875,0.4226638888888889,0.6279458333333333,0.8661777777777777,0.8172821428571427,1.0870346666666666,1.1380862903225804,0.8439697916666665,0.9465499999999999,0.4475972222222222,0.4153125,0.7179083333333334,0.5802611111111111,0.3254222222222222,0.44886875,0.7190125000000002,0.38198125,0.1386666666666667,0.27450555555555556,0.3222222222222222,0.260425,0.3125222222222222,0.06159722222222223,0.1269277777777778,0.22509583333333336,0.16989583333333333,1.1111111111109887e-05,0.06503333333333335,0.34111111111111114,0.37653749999999997,0.7213416666666667,0.37835833333333335,0.294375,0.18370833333333333,0.15027708333333334,0.4594520833333333,0.5294034722222222,0.16212083333333333,0.095225,-0.07588333333333332,0.07153888888888886,0.016515151515151528,-0.11456833333333334,0.025222222222222184,0.0724638888888889,-0.057013888888888885,-0.15864166666666665,-0.25559166666666666,0.06601666666666667,-0.6817222222222222,-0.44394375,-0.496375
cingulate gyrus retrosplenial part,CgGr,cingulate gyrus,CgGr,52,0.15978750000000003,0.14320520833333333,-0.07534374999999999,-0.3207895833333333,-0.02381666666666666,-0.7203505208333333,-0.6562966856060606,-0.3024958333333333,-0.03679722222222223,-0.19666770833333336,-0.25616180555555557,0.05737777777777778,0.24998402777777778,-0.28117395833333336,-0.30026319444444444,-0.16412031249999998,-0.35896805555555555,-0.3760317708333333,-0.33169722222222225,-0.7463781007751937,-0.5972208333333333,-0.39588541666666666,-0.23465069444444442,-0.2595927083333333,-0.1504625,-0.5091083333333334,-0.46282291666666664,-0.22965520833333336,-0.19680138888888882,-0.17957291666666664,0.0202135416666667,-0.5283006944444444,-0.5735416666666666,-0.3108729166666667,-0.3720173611111111,-0.4315483333333333,-0.28141130952380955,-0.38368717948717945,-0.40999687500000004,-0.20179930555555556,-0.13458958333333335,-0.1392078125,-0.43766562499999995,-0.14320134803921564,-0.04604624999999999,-0.2215236111111111,-0.15948333333333337,-0.35087361111111115,-0.33721805555555556,-0.3088305555555555,-0.5575298611111111,-0.4075479166666667,-0.4521131944444444,-0.14636614583333335,-0.0809013888888889,-0.09991249999999999,-0.20875416666666663,-0.2648285714285714,-0.1977172500000001,0.12397802419354845,0.07975234375,0.06221180555555554,0.15323402777777778,-0.020732291666666666,-0.06899166666666665,-0.10355277777777774,-0.3255506944444444,-0.06254739583333332,0.4956270833333333,-0.029260937500000056,-0.12556319444444447,-0.046743055555555496,0.12116597222222222,0.11464583333333336,0.1818590277777778,0.24555833333333343,0.3857361111111111,0.4767104166666667,0.31105520833333333,-0.10869513888888885,0.041860416666666664,0.4915298611111112,0.20483124999999996,0.5047708333333333,-0.009702083333333292,-0.23733541666666663,-0.3181777777777777,-0.030621875,-0.06563593749999999,0.06106093750000005,-0.14228333333333334,-0.10135000000000001,-0.315175,-0.10041527777777778,-0.07544659090909092,-0.10146791666666666,-0.03128541666666665,0.15516944444444444,-0.10286458333333331,-0.06510416666666663,0.02506666666666664,0.0058812500000000115,-0.33254861111111117,-0.35363020833333336,-0.19484791666666673
claustrum,Cl,claustrum,Cl,109,0.06972627645502645,-0.022568998015873015,-0.036442103174603176,-0.23028388888888884,-0.4047034854497355,-0.2798977182539683,0.016337749819624825,0.0889615939153439,-0.14042416005291006,0.057037336309523824,0.1274767328042328,0.18746202380952384,-0.017695224867724884,0.03364769841269843,-0.00270371693121692,0.043115491071428556,0.18639189153439154,0.1355033779761905,0.3579530026455026,0.4491576988741232,0.34967870039682536,0.3444531018518518,0.2024092923280423,0.08165038029100528,0.1849180257936508,0.12061259920634915,0.003028511904761888,0.11028333333333333,0.14358306878306878,0.024310109126984124,-0.1438437003968254,-0.09905021825396826,0.35115753968253965,0.2801975496031746,0.3043257142857143,0.4280478650793651,0.3660512896825397,0.25529918345543345,0.31246973214285717,0.30336780423280424,0.43579647817460315,0.7410244444444446,0.7627777281746032,0.3760919712885154,0.37135140873015865,0.5729042857142858,0.03605458994708997,-0.12055007936507939,-0.10950033068783067,0.21777577380952381,0.40659506613756613,0.5452050793650792,0.39449874999999995,0.10368750496031748,0.4945752116402116,0.3131624801587302,0.1693479563492064,0.4740156660997732,0.3303962896825397,0.14524319252432155,0.051009184027777786,0.3822768452380952,0.1952455489417989,0.5942643353174603,0.4402822751322751,0.33161730158730157,0.2690308994708995,0.32442235119047613,0.3308740873015873,0.1965342807539682,0.17386828042328042,0.19717603835978836,-0.21195584656084657,-0.2002202281746032,-0.2175607142857143,-0.03922964285714286,-0.361970462962963,-0.19520617063492063,0.0008173908730158738,0.2675292857142857,0.14005687169312173,0.12468515211640213,-0.18000085317460315,0.04811454365079365,-0.0978376455026455,-0.08775988095238096,-0.09428285714285718,0.061521398809523814,-0.28126,-0.1286719064153439,0.03196023809523807,0.18559150793650792,0.06694686507936512,-0.1152324603174603,0.07908315295815295,0.1671000634920635,0.055112030423280424,0.06658041666666666,0.08947828703703704,-0.033927294973544984,-0.28177773809523815,-0.2404615873015873,-0.43615788359788366,-0.28729682043650795,-0.08278873677248678
cuneus,Cun,occipital lobe,Cun,44,0.018666666666666668,-0.4965208333333333,0.02167083333333333,-0.4267520833333333,-0.3173472222222222,0.12471875000000003,0.48239393939393943,1.0729111111111111,0.5518138888888889,0.6062666666666666,0.40092777777777777,0.0492333333333333,-0.22260833333333338,-0.40877083333333336,-0.06686944444444444,0.102325,0.040427777777777785,-0.22639999999999996,-0.2968527777777778,-0.8267186046511626,-0.20032083333333328,-0.20043055555555553,0.3795527777777778,-0.1306611111111111,-0.2147875,-0.5349875000000001,-0.3141,-0.5877666666666667,-0.34007499999999996,-0.3451875,-0.10063333333333335,-0.5080444444444444,-0.24257499999999999,-0.44669583333333335,-0.0976861111111111,-0.3902033333333333,-0.2784773809523809,-0.06258974358974359,-0.007670833333333328,0.5266694444444444,0.39799999999999996,0.5272883333333334,-0.10884583333333332,0.06409411764705879,-0.38294333333333336,0.35589444444444446,0.24747222222222223,0.3864111111111112,0.5624833333333333,-0.019622222222222218,0.2930527777777777,0.2994194444444444,0.408075,0.034466666666666666,-0.19080277777777777,0.2498625000000001,0.7198611111111112,0.8912261904761906,1.208446,1.4327061827956988,0.6641531249999999,1.4126333333333332,0.40430555555555553,0.28005416666666666,0.8189861111111111,0.6459527777777777,0.8536333333333332,1.018952083333333,0.9157125,0.5625145833333334,-0.1507097222222222,0.3159027777777778,-0.003622222222222221,0.07493749999999999,0.9673472222222222,0.16268055555555558,0.06905833333333333,0.07797916666666665,0.138975,0.10730833333333334,-8.888888888887447e-05,0.6061444444444445,0.6117999999999999,0.6827083333333334,0.42208611111111116,0.5287000000000001,0.5050500000000001,0.34095416666666667,0.3001375,0.4633298611111112,0.11198333333333337,-0.05771666666666667,0.2745944444444445,-0.127425,0.003904545454545464,0.08530333333333333,-0.10481944444444447,0.28605833333333336,-0.07134444444444445,-0.1798666666666667,-0.26567083333333336,-0.16672083333333332,-0.25920000000000004,-0.67671875,-0.5656777777777778
